net_type,system,activation,steps_ahead,Nodes_prop,Nodes_tot,Edges_prop,Edges_tot,Triangles_prop,Triangles_tot,Squares_prop,Squares_tot
lorenz,lorenz,tanh,18,0.0795454545454545,7,0.1477272727272727,13,0.4090909090909091,36,0.3636363636363636,32
lorenz,lorenz,tanh,19,0.0833333333333333,7,0.1428571428571428,12,0.4523809523809524,38,0.3214285714285714,27
lorenz,lorenz,tanh,20,0.0721649484536082,7,0.1546391752577319,15,0.4123711340206185,40,0.3608247422680412,35
lorenz,lorenz,tanh,21,0.0697674418604651,6,0.1627906976744186,14,0.4186046511627907,36,0.3488372093023256,30
lorenz,lorenz,tanh,22,0.0674157303370786,6,0.1797752808988764,16,0.4157303370786517,37,0.3370786516853932,30
lorenz,lorenz,tanh,23,0.058252427184466,6,0.145631067961165,15,0.3980582524271844,41,0.3980582524271844,41
lorenz,lorenz,tanh,24,0.0512820512820512,4,0.1153846153846153,9,0.4871794871794871,38,0.3461538461538461,27
lorenz,lorenz,tanh,25,0.0769230769230769,8,0.1153846153846153,12,0.3942307692307692,41,0.4134615384615384,43
lorenz,lorenz,linear,1,0.5843621399176955,142,0.0,0,0.4156378600823045,101,0.0,0
lorenz,lorenz,linear,2,0.2916666666666667,28,0.125,12,0.3229166666666667,31,0.2604166666666667,25
lorenz,lorenz,linear,3,0.3597122302158273,50,0.0935251798561151,13,0.4172661870503597,58,0.1294964028776978,18
lorenz,lorenz,linear,4,0.1818181818181818,20,0.0818181818181818,9,0.4454545454545454,49,0.2909090909090909,32
lorenz,lorenz,linear,5,0.2051282051282051,32,0.1025641025641025,16,0.4615384615384615,72,0.2307692307692307,36
